University of Florida,1. 3.7 GPA 2. SAT/ACT 3.Good record of conduct,Tuition:$21811
University of Miami,1.SAT/ACT 2. Above Average GPA 3. Extracurriculars. 4. Letter of recommendation,Tuition:$57194
Northwest Florida State College,1. High School Diploma 2. SAT/ACT 3. 2.0 GPA,Tuition:$18002
Gulf Coast State College,1. 3.17 GPA 2. SAT 3. ACT,Tuition:$17212
Tallahassee State College,Open Admission,Tuition:$13700
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
BLANK,BLANK,BLANK
